acousticness,bb_index,billboard_artist,billboard_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.278,88.0,miranda lambert,mama's broken heart,0.768,177773.0,0.809,2mXsZsJBThTaJXbNcg5QD4,0.0,4.0,0.139,-4.204,0.0,64.0,2011-11-01,0.0616,Four The Record,Miranda Lambert,Mama's Broken Heart,111.989,4.0,audio_features,spotify:track:2mXsZsJBThTaJXbNcg5QD4,0.748
0.117,89.0,thomas rhett,it goes like this,0.543,186080.0,0.837,6GsAD8PgHxmEuIPTG8GP3M,0.0,11.0,0.0872,-6.448,1.0,65.0,2013-01-01,0.0608,It Goes Like This,Thomas Rhett,It Goes Like This,168.056,4.0,audio_features,spotify:track:6GsAD8PgHxmEuIPTG8GP3M,0.506
0.0168,90.0,ace hood,bugatti,0.607,269267.0,0.589,0uFvvXbmGIXlf5ZgtHyYpf,0.0,1.0,0.0855,-4.929,1.0,62.0,2013-01-01,0.0542,Trials & Tribulations,Ace Hood,Bugatti,130.431,4.0,audio_features,spotify:track:0uFvvXbmGIXlf5ZgtHyYpf,0.069
0.268,91.0,hunter hayes,wanted,0.421,228840.0,0.476,0p1BcEcYVO3uk4KDf3gzkY,0.0,0.0,0.0816,-7.692,1.0,68.0,2011,0.0298,Hunter Hayes (Encore),Hunter Hayes,Wanted,169.784,4.0,audio_features,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,0.3
0.18,92.0,lady antebellum,downtown,0.532,195867.0,0.825,4kY7rYtE4OQkJNq22OIYRI,0.0,9.0,0.296,-5.287,1.0,55.0,2013-01-01,0.0468,Golden,Lady Antebellum,Downtown,169.961,4.0,audio_features,spotify:track:4kY7rYtE4OQkJNq22OIYRI,0.96
0.00286,93.0,florida georgia line,get your shine on,0.497,222013.0,0.927,6s9ICeczYOfbHHIaSMq9jd,1.26e-06,0.0,0.413,-4.52,1.0,63.0,2012-01-01,0.0371,Here's To The Good Times,Florida Georgia Line,Get Your Shine On,96.991,4.0,audio_features,spotify:track:6s9ICeczYOfbHHIaSMq9jd,0.607
0.00112,94.0,will.i.am,#thatpower,0.797,279507.0,0.608,01TuObJVd7owWchVRuQbQw,7.66e-05,6.0,0.0748,-6.096,0.0,66.0,2013-01-01,0.0583,#willpower (Deluxe),will.i.am,#thatPOWER,128.0,4.0,audio_features,spotify:track:01TuObJVd7owWchVRuQbQw,0.403
0.00502,95.0,sara bareilles,brave,0.551,220573.0,0.836,6Uy6K3KdmUdAfelUp0SeXn,2.1e-05,10.0,0.0425,-3.838,0.0,69.0,2013-07-16,0.0524,The Blessed Unrest,Sara Bareilles,Brave,185.063,4.0,audio_features,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,0.758
0.365,96.0,passenger,let her go,0.479,252733.0,0.545,6GmUVqe73u5YRfUUynZK6I,0.0,7.0,0.0963,-7.346,1.0,71.0,2012-06-29,0.0688,All the Little Lights,Passenger,Let Her Go,74.897,4.0,audio_features,spotify:track:6GmUVqe73u5YRfUUynZK6I,0.244
0.0354,97.0,randy houser,runnin' outta moonlight,0.526,193773.0,0.801,6enPOmd3vSFpI4jjms8kXN,3.17e-06,2.0,0.0637,-3.717,1.0,67.0,2013-01-22,0.0393,How Country Feels,Randy Houser,Runnin' Outta Moonlight,172.024,4.0,audio_features,spotify:track:6enPOmd3vSFpI4jjms8kXN,0.769
